,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
971,Omohide poro poro,1991,U,118.0,7.6,90.0,Isao Takahata,Miki Imai,Toshirô Yanagiba,Yoko Honna,Mayumi Izuka,27071,453243.0,Animation,Omohide,poro,poro,,,,,,,,,,
972,Delicatessen,1991,R,99.0,7.6,66.0,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,Dominique Pinon,Pascal Benezech,80487,1794187.0,Comedy,Delicatessen,,,,,,,,,,,,
973,Home Alone,1990,U,103.0,7.6,63.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,488817,285761243.0,Comedy,Home,Alone,,,,,,,,,,,
974,The Godfather: Part III,1990,A,162.0,7.6,60.0,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,359809,66666062.0,Crime,The,Godfather:,Part,III,,,,,,,,,
975,When Harry Met Sally...,1989,UA,95.0,7.6,76.0,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,195663,92823600.0,Comedy,When,Harry,Met,Sally...,,,,,,,,,
976,The Little Mermaid,1989,U,83.0,7.6,88.0,Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,Rene Auberjonois,237696,111543479.0,Animation,The,Little,Mermaid,,,,,,,,,,
977,The Naked Gun: From the Files of Police Squad!,1988,U,85.0,7.6,76.0,David Zucker,Leslie Nielsen,Priscilla Presley,O.J. Simpson,Ricardo Montalban,152871,78756177.0,Comedy,The,Naked,Gun:,From,the,Files,of,Police,Squad!,,,,
978,"Planes, Trains & Automobiles",1987,U,93.0,7.6,72.0,John Hughes,Steve Martin,John Candy,Laila Robins,Michael McKean,124773,49530280.0,Comedy,"Planes,",Trains,&,Automobiles,,,,,,,,,
979,Lethal Weapon,1987,A,109.0,7.6,68.0,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,236894,65207127.0,Action,Lethal,Weapon,,,,,,,,,,,
980,Blood Simple,1984,A,99.0,7.6,82.0,Joel Coen,Ethan Coen,John Getz,Frances McDormand,Dan Hedaya,87745,2150000.0,Crime,Blood,Simple,,,,,,,,,,,
981,On Golden Pond,1981,UA,109.0,7.6,68.0,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,Doug McKeon,27650,119285432.0,Drama,On,Golden,Pond,,,,,,,,,,
982,Mad Max 2,1981,A,96.0,7.6,77.0,George Miller,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps,166588,12465371.0,Action,Mad,Max,2,,,,,,,,,,
983,The Warriors,1979,UA,92.0,7.6,65.0,Walter Hill,Michael Beck,James Remar,Dorsey Wright,Brian Tyler,93878,22490039.0,Action,The,Warriors,,,,,,,,,,,
984,The Muppet Movie,1979,U,95.0,7.6,74.0,James Frawley,Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt,32802,76657000.0,Adventure,The,Muppet,Movie,,,,,,,,,,
985,Escape from Alcatraz,1979,A,112.0,7.6,76.0,Don Siegel,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,121731,43000000.0,Action,Escape,from,Alcatraz,,,,,,,,,,
987,Midnight Express,1978,A,121.0,7.6,59.0,Alan Parker,Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli,73662,35000000.0,Biography,Midnight,Express,,,,,,,,,,,
988,Close Encounters of the Third Kind,1977,U,138.0,7.6,90.0,Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,184966,132088635.0,Drama,Close,Encounters,of,the,Third,Kind,,,,,,,
989,The Long Goodbye,1973,A,112.0,7.6,87.0,Robert Altman,Elliott Gould,Nina van Pallandt,Sterling Hayden,Mark Rydell,26337,959000.0,Comedy,The,Long,Goodbye,,,,,,,,,,
990,Giù la testa,1971,PG,157.0,7.6,77.0,Sergio Leone,Rod Steiger,James Coburn,Romolo Valli,Maria Monti,30144,696690.0,Drama,Giù,la,testa,,,,,,,,,,
991,Kelly's Heroes,1970,GP,144.0,7.6,50.0,Brian G. Hutton,Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor,45338,1378435.0,Adventure,Kelly's,Heroes,,,,,,,,,,,
992,The Jungle Book,1967,U,78.0,7.6,65.0,Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,166409,141843612.0,Animation,The,Jungle,Book,,,,,,,,,,
994,A Hard Day's Night,1964,U,87.0,7.6,96.0,Richard Lester,John Lennon,Paul McCartney,George Harrison,Ringo Starr,40351,13780024.0,Comedy,A,Hard,Day's,Night,,,,,,,,,
997,From Here to Eternity,1953,Passed,118.0,7.6,85.0,Fred Zinnemann,Burt Lancaster,Montgomery Clift,Deborah Kerr,Donna Reed,43374,30500000.0,Drama,From,Here,to,Eternity,,,,,,,,,
