,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
527,The Untouchables,1987,A,119.0,7.9,79.0,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842,76270454.0,Crime,The,Untouchables,,,,,,,,,,,
528,Hannah and Her Sisters,1986,PG-13,107.0,7.9,90.0,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176,40084041.0,Comedy,Hannah,and,Her,Sisters,,,,,,,,,
529,Brazil,1985,U,132.0,7.9,84.0,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567,9929135.0,Drama,Brazil,,,,,,,,,,,,
530,This Is Spinal Tap,1984,R,82.0,7.9,92.0,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812,188751.0,Comedy,This,Is,Spinal,Tap,,,,,,,,,
531,A Christmas Story,1983,U,93.0,7.9,77.0,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947,20605209.0,Comedy,A,Christmas,Story,,,,,,,,,,
532,The Blues Brothers,1980,U,133.0,7.9,60.0,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182,57229890.0,Action,The,Blues,Brothers,,,,,,,,,,
533,Manhattan,1979,R,96.0,7.9,83.0,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436,45700000.0,Comedy,Manhattan,,,,,,,,,,,,
534,All That Jazz,1979,A,123.0,7.9,72.0,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,37823676.0,Drama,All,That,Jazz,,,,,,,,,,
535,Dawn of the Dead,1978,A,127.0,7.9,71.0,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512,5100000.0,Action,Dawn,of,the,Dead,,,,,,,,,
536,All the President's Men,1976,U,138.0,7.9,84.0,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031,70600000.0,Biography,All,the,President's,Men,,,,,,,,,
537,La montaña sagrada,1973,R,114.0,7.9,76.0,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183,61001.0,Adventure,La,montaña,sagrada,,,,,,,,,,
539,Le charme discret de la bourgeoisie,1972,PG,102.0,7.9,93.0,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737,198809.0,Comedy,Le,charme,discret,de,la,bourgeoisie,,,,,,,
542,Patton,1970,U,172.0,7.9,91.0,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741,61700000.0,Biography,Patton,,,,,,,,,,,,
543,The Wild Bunch,1969,A,145.0,7.9,97.0,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401,12064472.0,Action,The,Wild,Bunch,,,,,,,,,,
546,In the Heat of the Night,1967,U,110.0,7.9,75.0,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,24379978.0,Crime,In,the,Heat,of,the,Night,,,,,,,
547,Charade,1963,U,113.0,7.9,83.0,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,13474588.0,Comedy,Charade,,,,,,,,,,,,
549,Spartacus,1960,A,197.0,7.9,87.0,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,30000000.0,Adventure,Spartacus,,,,,,,,,,,,
555,High Noon,1952,PG,85.0,7.9,89.0,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,97222,9450000.0,Drama,High,Noon,,,,,,,,,,,
556,Strangers on a Train,1951,A,101.0,7.9,88.0,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,123341,7630000.0,Crime,Strangers,on,a,Train,,,,,,,,,
559,Notorious,1946,U,102.0,7.9,100.0,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306,10464000.0,Drama,Notorious,,,,,,,,,,,,
